Weekly_Training_Hours,Sprint_Time_100m,Stamina_Level
4.370861069626263,11.225773611559088,6
9.556428757689245,12.13618694992635,8
7.587945476302646,12.447233474848256,9
6.387926357773329,14.2685466714627,4
2.4041677639819286,13.412341947482155,1
2.403950683025824,10.88435181356472,1
1.5227525095137953,13.388900763273753,10
8.795585311974417,12.53790126350042,4
6.41003510568888,12.18769359963285,7
7.372653200164409,13.734011546609041,2
1.185260448662222,14.237199426995142,3
9.72918866945795,14.117536142939437,1
8.491983767203795,11.992938972132833,5
2.9110519961044856,12.628945148978543,1
2.636424704863906,13.397516117684276,8
2.650640588680904,14.170654152546831,1
3.7381801866358395,12.424990914585653,1
5.72280788469014,12.77720922800342,2
4.887505167779041,11.672398031192767,2
3.6210622617823773,11.564552051103195,6
6.506676052501415,13.975030986873037,7
2.2554447458683766,14.627488034284987,5
3.629301836816963,12.9135878541036,1
4.297256589643226,14.204239477470429,1
5.104629857953324,13.433963230057161,3
8.066583652537123,12.22585629447385,2
2.7970640394252375,13.433674726610096,5
5.628109945722504,14.845643879759162,10
6.331731119758382,12.957008753068058,6
1.4180537144799796,14.877572386976807,7
6.467903667112945,9.856305875092307,4
2.5347171131856236,13.986283005250268,7
1.5854643368675156,13.104456481885805,8
9.539969835279999,12.641191179440959,1
9.690688297671034,13.110112931842602,6
8.275576133048151,10.61491730247893,8
3.741523922560336,12.736393734594985,5
1.8790490260574548,13.428535085814095,4
7.158097238609412,14.77347285368982,2
4.961372443656412,12.378075738071622,6
2.0983441136030097,12.029807676528176,6
5.456592191001432,12.397891547698556,1
1.3094966900369656,14.09848254124249,9
9.18388361870904,13.394501331591622,6
3.3290198344001523,12.364287755479554,3
6.962700559185838,13.615920919736027,4
3.8053996848046987,13.116493059217648,4
5.680612190600297,14.162373988639468,3
5.920392514089517,12.157536287347178,10
2.6636900997297435,12.606805424082678,3
9.726261649881026,12.52947021624141,3
7.976195410250031,11.243782062241458,4
9.455490474077703,13.355344332477491,7
9.053446153848839,13.313266326615867,4
6.381099809299767,13.006136147970953,9
9.296868115208051,12.718495439949823,1
1.7964325184672756,11.301555109539503,8
2.763845761772307,12.495225612681569,7
1.4070456001948426,12.588742580167876,2
3.927972976869379,12.037267276934058,8
