Daily_Sunlight_Exposure,Plant_Height,Leaf_Color_Intensity
4.9963209507789,10.564434028897718,6
9.60571445127933,12.840467374815875,8
7.855951534491241,13.618083687120638,9
6.789267873576293,18.171366678656746,4
3.248149123539492,16.030854868705383,1
3.247956162689621,9.710879533911799,1
2.4646688973455957,15.972251908184385,10
8.92940916619948,13.84475315875105,4
6.80892009394567,12.969233999082125,7
7.664580622368364,16.835028866522602,2
2.1646759543664196,18.092998567487854,3
9.759278817295954,17.793840357348596,1
8.659541126403374,12.482347430332084,5
3.6987128854262092,14.072362872446357,1
3.454599737656805,15.993790294210692,8
3.4672360788274705,17.926635381367078,1
4.433937943676302,13.56247728646413,1
6.198051453057903,14.443023070008548,2
5.455560149136926,11.680995077981915,2
4.329833121584335,11.411380127757987,6
6.894823157779036,17.437577467182592,7
3.1159508852163347,19.06872008571247,5
4.337157188281745,14.783969635258998,1
4.930894746349534,18.010598693676073,1
5.648559873736287,16.084908075142902,3
8.281407691144109,13.064640736184627,2
3.597390257266878,16.084186816525243,5
6.113875507308893,19.614109699397908,10
6.73931655089634,14.892521882670145,6
2.371603301759982,19.693930967442018,7
6.860358815211507,7.140764687730767,4
3.3641929894983322,17.465707513125672,7
2.520412743882236,15.261141204714514,8
9.591084298026665,14.102977948602398,1
9.725056264596475,15.275282329606506,6
8.46717878493169,9.037293256197321,8
4.4369101533869655,14.340984336487464,5
2.781376912051071,16.07133771453524,4
7.473864212097255,19.433682134224547,2
5.52121994991681,13.445189345179058,6
2.9763058787582306,12.574519191320437,6
5.9614152808901615,13.49472886924639,1
2.275108168921747,17.746206353106224,9
9.274563216630256,15.986253328979053,6
4.070239852800135,13.410719388698883,3
7.300178274831856,16.539802299340067,4
4.493688608715288,15.29123264804412,4
6.1605441694224865,17.90593497159867,3
6.373682234746237,12.893840718367944,10
3.4788356442042163,14.017013560206696,3
9.756677022116468,13.823675540603528,3
8.201062586888916,10.609455155603644,4
9.515991532513514,15.888360831193728,7
9.158618803421192,15.783165816539668,4
6.783199830488681,15.015340369927383,9
9.374993880184935,14.29623859987456,1
2.707940016415356,10.753887773848756,8
3.5678628993531616,13.738064031703923,7
2.3618183112843045,13.971856450419692,2
4.602642646106115,12.593168192335144,8
