Average_Weekly_Time_Gym,Weight_Lost,Improvement_Energy_Level
4.370861069626263,1.9822170144488593,6
9.556428757689245,3.1202336874079375,8
7.587945476302646,3.509041843560319,9
6.387926357773329,5.785683339328374,4
2.4041677639819286,4.7154274343526925,1
2.403950683025824,1.5554397669558995,1
1.5227525095137953,4.6861259540921925,10
8.795585311974417,3.6223765793755254,4
6.41003510568888,3.184616999541062,7
7.372653200164409,5.117514433261302,2
1.185260448662222,5.746499283743926,3
9.72918866945795,5.5969201786742975,1
8.491983767203795,2.9411737151660424,5
2.9110519961044856,3.736181436223178,1
2.636424704863906,4.696895147105346,8
2.650640588680904,5.663317690683539,1
3.7381801866358395,3.481238643232065,1
5.72280788469014,3.9215115350042744,2
4.887505167779041,2.540497538990958,2
3.6210622617823773,2.405690063878994,6
6.506676052501415,5.418788733591297,7
2.2554447458683766,6.234360042856235,5
3.629301836816963,4.091984817629499,1
4.297256589643226,5.705299346838037,1
5.104629857953324,4.742454037571451,3
8.066583652537123,3.2323203680923136,2
2.7970640394252375,4.742093408262621,5
5.628109945722504,6.507054849698954,10
6.331731119758382,4.146260941335073,6
1.4180537144799796,6.54696548372101,7
6.467903667112945,0.27038234386538385,4
2.5347171131856236,5.432853756562836,7
1.5854643368675156,4.330570602357257,8
9.539969835279999,3.751488974301199,1
9.690688297671034,4.337641164803253,6
8.275576133048151,1.2186466280986608,8
3.741523922560336,3.8704921682437323,5
1.8790490260574548,4.73566885726762,4
7.158097238609412,6.416841067112275,2
4.961372443656412,3.422594672589529,6
2.0983441136030097,2.987259595660219,6
5.456592191001432,3.4473644346231955,1
1.3094966900369656,5.573103176553111,9
9.18388361870904,4.693126664489527,6
3.3290198344001523,3.4053596943494417,3
6.962700559185838,4.969901149670035,4
3.8053996848046987,4.34561632402206,4
5.680612190600297,5.6529674857993335,3
5.920392514089517,3.1469203591839716,10
2.6636900997297435,3.708506780103348,3
9.726261649881026,3.6118377703017637,3
7.976195410250031,2.0047275778018223,4
9.455490474077703,4.644180415596864,7
9.053446153848839,4.591582908269834,4
6.381099809299767,4.207670184963692,9
9.296868115208051,3.84811929993728,1
1.7964325184672756,2.076943886924379,8
2.763845761772307,3.5690320158519615,7
1.4070456001948426,3.685928225209846,2
3.927972976869379,2.996584096167572,8
