Dosage_mg,Reduction_Symptom_Severity,Side_Effect_Severity
106.18101782710437,4.33866041733863,6
192.60714596148742,5.704280424889524,8
159.79909127171078,6.1708502122723825,9
139.7987726295555,8.902820007194048,4
73.40279606636548,7.61851292122323,1
73.3991780504304,3.826527720347079,1
58.71254182522992,7.5833511449106314,10
179.92642186624028,6.30685189525063,4
140.16725176148134,5.781540399449274,7
156.21088666940682,8.101017319913563,2
53.08767414437037,8.855799140492712,3
195.48647782429916,8.676304214409157,1
174.86639612006326,5.48940845819925,5
81.85086660174142,6.443417723467814,1
77.2737450810651,7.596274176526415,8
77.51067647801507,8.755981228820247,1
95.63633644393066,6.137486371878478,1
128.71346474483568,6.665813842005129,2
114.79175279631737,5.008597046789149,2
93.68437102970628,4.846828076654793,6
141.77793420835692,8.462546480309557,7
70.92407909780627,9.44123205142748,5
93.82169728028272,6.870381781155399,1
104.95427649405376,8.806359216205644,1
118.41049763255539,7.650944845085742,3
167.77639420895204,5.838784441710777,2
79.95106732375396,7.650512089915145,5
127.13516576204174,9.768465819638745,10
138.86218532930639,6.9355131296020875,6
56.96756190799966,9.816358580465211,7
141.13172778521576,2.2844588126384604,4
75.57861855309373,8.479424507875404,7
59.75773894779193,7.156684722828708,8
192.33283058799998,6.461786769161439,1
194.8448049611839,7.165169397763904,6
171.25960221746917,3.422375953718393,8
95.6920653760056,6.604590601892479,5
64.65081710095758,7.642802628721143,4
152.63495397682354,9.66020928053473,2
116.0228740609402,6.0671136071074345,6
68.30573522671682,5.5447115147922625,6
124.27653651669053,6.096837321547834,1
55.15827816728276,8.647723811863733,9
186.39806031181732,7.591751997387432,6
88.81699724000254,6.04643163321933,3
149.3783426530973,7.923881379604041,4
96.75666141341165,7.174739588826473,4
128.0102031766716,8.7435609829592,3
132.00654190149194,5.736304431020765,10
77.72816832882906,6.410208136124017,3
195.4376941646838,6.2942053243621165,3
166.2699235041672,4.365673093362187,4
190.92484123462836,7.533016498716237,7
184.22410256414733,7.469899489923801,4
139.68499682166276,7.00920422195643,9
188.2811352534675,6.577743159924736,1
63.273875307787925,4.452332664309255,8
79.39742936287178,6.242838419022354,7
56.78409333658071,6.383113870251815,2
98.79954961448965,5.555900915401086,8
