Daily_Screen_Time,Attention_Span_Score,Behavior_Rating
2.49816047538945,60.214780096325725,6
4.802857225639665,67.80155791605291,8
3.9279757672456204,70.39361229040213,9
3.3946339367881464,85.57122226218915,4
1.624074561769746,78.43618289568461,1
1.6239780813448106,57.36959844637266,1
1.2323344486727978,78.24083969394795,10
4.46470458309974,71.14917719583684,4
3.404460046972835,68.23077999694041,7
3.832290311184182,81.11676288840867,2
1.0823379771832098,85.30999522495951,3
4.879639408647977,84.31280119116198,1
4.329770563201687,66.60782476777362,5
1.8493564427131046,71.90787624148786,1
1.7272998688284025,78.31263431403563,8
1.7336180394137353,84.75545127122359,1
2.216968971838151,70.2082576215471,1
3.0990257265289514,73.14341023336183,2
2.727780074568463,63.93665025993972,2
2.1649165607921677,63.037933759193294,6
3.447411578889518,83.12525822394198,7
1.5579754426081673,88.56240028570824,5
2.1685785941408726,74.27989878419666,1
2.465447373174767,85.03532897892023,1
2.8242799368681437,78.61636025047635,3
4.140703845572054,68.54880245394875,2
1.798695128633439,78.61395605508415,5
3.0569377536544464,90.38036566465969,10
3.36965827544817,74.64173960890048,6
1.185801650879991,90.64643655814007,7
3.4301794076057535,48.80254895910255,4
1.6820964947491661,83.21902504375224,7
1.260206371941118,75.87047068238171,8
4.7955421490133325,72.00992649534132,1
4.862528132298237,75.91760776535503,6
4.233589392465845,55.124310853991076,8
2.2184550766934827,72.80328112162488,5
1.3906884560255355,78.57112571511746,4
3.7369321060486276,89.77894044741517,2
2.760609974958405,69.81729781726352,6
1.4881529393791153,66.91506397106812,6
2.9807076404450807,69.98242956415463,1
1.1375540844608736,84.15402117702074,9
4.637281608315128,78.28751109659684,6
2.0351199264000677,69.70239796232961,3
3.650089137415928,80.13267433113356,4
2.246844304357644,75.9707754934804,4
3.0802720847112433,84.68644990532889,3
3.1868411173731186,67.97946906122648,10
1.7394178221021082,71.72337853402232,3
4.878338511058234,71.07891846867842,3
4.100531293444458,60.364850518678814,4
4.757995766256757,77.96120277064576,7
4.579309401710596,77.6105527217989,4
3.3915999152443406,75.05113456642461,9
4.687496940092467,72.65412866624852,1
1.353970008207678,60.84629257949586,8
1.7839314496765808,70.79354677234642,7
1.1809091556421523,71.57285483473231,2
2.3013213230530574,66.9772273077838,8
