Hours of Sleep per Night,Weekly Exercise Time,Self-Reported Stress Level
5.914369396699438,331.68090237455056,4
7.997345446583585,503.6866068288117,1
7.2829784980519925,446.4068697183256,2
5.493705286081908,289.8343533667008,4
6.4213997480314635,427.8029562761934,3
8.651436537097151,543.3032882631861,1
4.573320756606925,275.7639478153484,4
6.571087371143823,387.27248043909697,3
8.265936258705533,460.0071411813084,2
6.133259597734899,373.98129807085286,4
6.321113848377946,393.32000448604606,3
6.905291031063109,389.3828123364881,3
8.491389626124288,544.3494990404432,1
6.361098003315349,348.7497888044299,4
6.556018040353934,329.6680719199628,4
6.565648724381482,425.13073618966996,3
9.0,527.8990188569368,1
9.0,536.2191124406096,1
8.004053897878878,455.11773218798106,2
7.386186399174856,394.9923011289693,3
7.737368575896242,501.89923579550106,2
8.490732028150799,488.77785217364027,1
6.0641661315976085,413.67854254029476,3
8.175829044782104,514.768988273248,1
5.746119332250988,335.3244155335355,4
6.36224849754659,349.1578378189894,4
7.907105195800301,452.45245214640437,2
5.571319299774031,297.9034640535868,4
6.859931279811334,474.2092775763256,2
6.1382451041403145,373.22794315531365,4
6.744380629469403,439.16900404456317,2
4.201410894539276,214.0640922020497,4
5.228466895490153,319.1390676173193,4
6.300122765402083,413.3432240883823,3
7.927462431758583,465.5974230475245,2
6.8263643172097845,440.51529280023937,2
7.002845915896811,387.63371759363565,3
7.688222711102285,420.38921632757956,2
6.120463656990948,378.60983778180093,4
7.283627323807291,425.6423463912609,2
6.1946334819343845,390.939649594218,3
5.272330505879393,257.0031924071501,4
6.609100206244899,417.9139514388095,3
7.573805862405058,532.3774695623829,1
7.3385890509998015,439.5765636170437,2
6.9881695055211805,420.31443419856606,3
9.0,545.3864845391604,1
7.412912160308779,388.91545829477315,3
7.978736005937346,491.50855954695004,1
9.0,491.83770767952103,1
5.705914676838751,329.52449266661097,4
5.961211789795047,394.95879387581493,3
8.74371222512293,502.5662248243736,1
6.2019372647589375,387.15370557255824,3
7.0296832303033305,452.16316543689095,2
8.069315969424348,492.5211838483409,1
7.890706391293171,432.31392937475204,2
8.75488618198111,515.3189126583242,1
8.49564413703347,568.5209884936568,1
8.069392669705737,423.41218729242007,2
